subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
,,,,,,,,,,
,,,,,,,,,,
5.0,5.320595756444732,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,1.0,0.0
5.0,,0.0,-1.0,1.0,1.0,4.0,-1.0,1.0,4.9,0.0
5.0,70.57668118045467,1.0,1.0,-1.0,1.0,4.0,-1.0,1.0,8.6,0.48840268400646664
5.0,42.83276660446472,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,11.4,0.3531787111025192
5.0,91.08885202847466,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,14.5,0.945511315450357
5.0,-11.6550625475154,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,18.4,0.0
,,,,,,,,,,
,,,,,,,,,,
5.0,-81.88680627548558,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,1.8999999999999986,0.6468212888974807
5.0,-162.63072085147564,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,4.399999999999999,0.4571086314438904
5.0,184.6253645725344,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,7.899999999999999,0.0
5.0,-21.118550003455653,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.100000000000001,0.0
5.0,,0.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,14.899999999999999,1.0050474487579146
,,,,,,,,,,
5.0,-190.60637915543577,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,0.5,0.1634660536489288
,,,,,,,,,,
5.0,120.64970626857416,1.0,1.0,-1.0,1.0,4.0,-1.0,-1.0,0.29999999999999716,0.5428913685561096
5.0,338.9057916925841,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.299999999999997,0.945511315450357
5.0,-79.83812288340596,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,6.799999999999997,0.05448868454964294
5.0,-184.5820374593959,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,9.299999999999997,0.4571086314438904
5.0,-128.32595203538597,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,13.400000000000006,0.05448868454964294
5.0,86.93013338862397,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,16.5,0.4026199468942474
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5.0,3.2105605086737796,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,1.2999999999999972,0.6468212888974807
,,,,,,,,,,
5.0,-45.27726864330634,1.0,-1.0,1.0,1.0,4.0,1.0,-1.0,0.0,0.29869002655287624
5.0,-38.021183219296404,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.9000000000000057,0.24420134200323332
5.0,-225.76509779528647,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,7.0,0.0
5.0,-21.509012371276526,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.200000000000003,0.0
5.0,-49.25292694726659,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,14.299999999999997,0.0
5.0,-67.99684152325653,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,17.400000000000006,0.0
,,,,,,,,,,
