subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
1.0,,0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0
1.0,-17.497416338582866,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,2.5,0.0
1.0,63.23876312335938,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,6.5,0.0
1.0,-148.02505741469838,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,9.0,0.0
1.0,-7.288877952756025,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,12.3,0.0
1.0,-130.55269849081378,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,15.8,2.9091698141298656
1.0,46.18348097112846,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,2.3000000000000007,1.5428913685561094
1.0,27.919660433070703,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,6.5,0.10897736909928588
1.0,35.655839895012946,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,10.899999999999999,0.40766739565216215
1.0,88.39201935695519,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,13.8,0.29869002655287624
1.0,93.12819881889743,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,16.9,0.05448868454964294
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1.0,-90.454724409449,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,0.3999999999999986,1.2623485252323852
1.0,-96.71854494750676,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,4.399999999999999,0.24420134200323332
1.0,35.0176345144356,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,7.299999999999997,0.29869002655287624
1.0,-124.24618602362216,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,2.0999999999999943,0.5428913685561096
1.0,165.48999343832008,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,5.900000000000006,0.05448868454964294
1.0,41.22617290026233,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.6781153414600567
1.0,-170.03764763779543,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,4.5,1.8415813951089859
1.0,-153.3014681758532,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,1.0999999999999943,2.6155272363349042
1.0,387.43471128608905,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,5.400000000000006,0.7013099734471236
1.0,148.1708907480314,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,9.0,0.05448868454964294
1.0,40.907070209973654,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,13.099999999999994,1.1897126574535903
1.0,617.6432496719159,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,2.700000000000003,0.8102873425464096
1.0,2.379429133858139,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,5.700000000000003,0.05448868454964294
1.0,-104.88439140419962,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,8.799999999999997,0.5428913685561096
1.0,11.851788057742624,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,11.900000000000006,0.7013099734471236
1.0,-145.41203248031513,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,16.299999999999997,2.1846652086956753
1.0,129.32414698162722,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,1.7999999999999972,1.1402714216618621
1.0,186.06032644356947,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,5.0,0.24420134200323332
1.0,-89.20349409448829,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,7.900000000000006,0.24420134200323332
1.0,-144.46731463254605,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,10.700000000000003,0.0
1.0,-75.7311351706038,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,14.400000000000006,0.24420134200323332
1.0,245.00504429133844,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,0.4000000000000057,5.649826125852888
1.0,-129.25877624671932,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,3.0999999999999943,0.05448868454964294
1.0,-77.52259678477697,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,6.699999999999989,0.0
1.0,-136.78641732283472,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,10.599999999999994,0.24420134200323332
1.0,-64.05023786089248,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,13.400000000000006,0.0
1.0,48.68594160104976,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,16.19999999999999,0.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1.0,-80.36934055118115,1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,1.5,1.7557986579967664
1.0,156.3668389107611,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,4.400000000000006,1.1897126574535903
1.0,-90.89698162729667,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,7.800000000000011,0.24420134200323332
1.0,141.83919783464557,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,11.800000000000011,0.0
1.0,218.57537729658782,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,15.099999999999994,0.6468212888974807
